"","water_year","lagoslakeid","res_time_yr","total_Pin_ugl","totTNload_gm2yr","TN_removal_gNm2yr","Pret_coef","lake_lon_decdeg","lake_lat_decdeg","Pret_coef.cat","TN_removal_gNm2yr.cat","lake_elevation_m","tmean","tmedian","prec_mean","prec_median","total_precip_mm","mean_annual_temp_k","seasonal_km2","permanent_km2","total_km2","categorical_ts","Pour_long","Pour_lat","lakes1ha_all_pct","lakes1ha_all_ha","lakes1ha_all_n","lakes1ha_all_nperha","lakes1ha_isolated_pct","lakes1ha_isolated_ha","lakes1ha_isolated_n","lakes1ha_isolated_nperha","lakes1ha_headwater_pct","lakes1ha_headwater_ha","lakes1ha_headwater_n","lakes1ha_headwater_nperha","lakes1ha_drainage_pct","lakes1ha_drainage_ha","lakes1ha_drainage_n","lakes1ha_drainage_nperha","lakes1ha_drainagelk_pct","lakes1ha_drainagelk_ha","lakes1ha_drainagelk_n","lakes1ha_drainagelk_nperha","lakes1ha_isolatedperm_pct","lakes1ha_isolatedperm_ha","lakes1ha_isolatedperm_n","lakes1ha_isolatedperm_nperha","lakes1ha_headwaterperm_pct","lakes1ha_headwaterperm_ha","lakes1ha_headwaterperm_n","lakes1ha_headwaterperm_nperha","lakes1ha_drainageperm_pct","lakes1ha_drainageperm_ha","lakes1ha_drainageperm_n","lakes1ha_drainageperm_nperha","lakes1ha_drainagelkperm_pct","lakes1ha_drainagelkperm_ha","lakes1ha_drainagelkperm_n","lakes1ha_drainagelkperm_nperha","lakes1ha_terminal_pct","lakes1ha_terminal_ha","lakes1ha_terminal_n","lakes1ha_terminal_nperha","lakes1ha_terminallk_pct","lakes1ha_terminallk_ha","lakes1ha_terminallk_n","lakes1ha_terminallk_nperha","lakes1ha_terminalperm_pct","lakes1ha_terminalperm_ha","lakes1ha_terminalperm_n","lakes1ha_terminalperm_nperha","lakes1ha_terminallkperm_pct","lakes1ha_terminallkperm_ha","lakes1ha_terminallkperm_n","lakes1ha_terminallkperm_nperha","nlcd_openwater11_pct","nlcd_icesnow12_pct","nlcd_devopen21_pct","nlcd_devlow22_pct","nlcd_devmed23_pct","nlcd_devhi24_pct","nlcd_barren31_pct","nlcd_fordec41_pct","nlcd_forcon42_pct","nlcd_formix43_pct","nlcd_shrub52_pct","nlcd_grass71_pct","nlcd_past81_pct","nlcd_cultcrop82_pct","nlcd_wetwood90_pct","nlcd_wetemerg95_pct","soil_clay_pct","soil_coarse_pct","soil_depthtobedrock_cm","soil_orgcarbon_gperkg","soil_sand_pct","soil_silt_pct","glaciatedlatewisc_pct","elevation_mean_m","elevation_min_m","elevation_max_m","elevation_sd_m","tri_m","topographicwetness","landform_flatplain_pct","landform_smoothplain_pct","landform_escarpment_pct","landform_lowhills_pct","landform_hills_pct","landform_lowmountains_pct","landform_drainagechannel_pct","landform_irregularplain_pct","landform_breaksfoothills_pct","landform_highmountainscanyons_pct","dams_n","dams_npersqkm","roads_mperha","canals_mperha","npdes_cafo_n","npdes_cafo_npersqkm","npdes_majordischarge_n","npdes_majordischarge_npersqkm","npdes_potw_n","npdes_potw_npersqkm","npdes_stormwaterindustrial_n","npdes_stormwaterindustrial_npersqkm","npdes_stormwatermunicipal_n","npdes_stormwatermunicipal_npersqkm","sems_superfundnpl_n","sems_superfundnpl_npersqkm","mines_heavymetal_n","mines_heavymetal_npersqkm","mines_iron_n","mines_iron_npersqkm","mines_peat_n","mines_peat_npersqkm","mines_rareelements_n","mines_rareelements_npersqkm","mines_rockmisc_n","mines_rockmisc_npersqkm","mines_stonegravelclay_n","mines_stonegravelclay_npersqkm","mines_sulfur_n","mines_sulfur_npersqkm","agency_designation_pct","agency_district_pct","agency_federal_pct","agency_joint_pct","agency_local_pct","agency_ngo_pct","agency_private_pct","agency_state_pct","agency_territorial_pct","agency_tribal_pct","agency_unknown_pct","gap_status1_pct","gap_status2_pct","gap_status3_pct","gap_status4_pct","iucn_naturereserve_pct","iucn_wilderness_pct","iucn_nationalpark_pct","iucn_naturalmonument_pct","iucn_habitatspeciesmgt_pct","iucn_other_pct","iucn_unassigned_pct","iucn_protectedlandsea_pct","iucn_protectedsustainable_pct","snowdur","snow_free_days","ann_max_swe","ws_drain_ratio","nws_drain_ratio"
"1",2001,"328600",0.929041113,53.16486713,845.732237,180703.39,17.73248467,-106.7887016,45.08482165,"Expected","Expected",1041.5,7.8875,7.17,21.2733333333333,15.835,44594.5162962671,282.725948222138,4.07106775804012,5.52789994967927,9.59896770771939,"eu/mixo",-106.769792,45.13061,"4.1411528942","621.4836331533","1","6.66333e-05","0","0","0","0","0","0","0","0","0","0","0","0","4.141152908","621.4836352164","1","6.66333e-05","0","0","0","0","0","0","0","0","0","0","0","0","4.141152908","621.4836352164","1","6.66333e-05","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0",4.2248705968,0,0.7749194791,0.0251908809,0,0,0.019792835,0.0221919665,3.9873565769,0,39.1202384737,51.4823633845,0,0,0.1403491936,0.1637407259,"25.7415058627","6.6393950563","2712.4744723","26.2669086275","36.1302777969","38.1489808285","0","1171.48218353","1039.9822998","1434.57348633","82.97308952","2.5492612087","11.3015641077","0.9710484805","3.8967893623","1.0082350189","0","17.3673130327","0","19.0239133434","49.9349235577","7.7977772047","0",0,0,8.5076728,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,49.9669702,0,0,0,0,0,0,9.5025308,0,0,8.0029313,0,0,64.3325005,3.1399318,0,0,0,0,0,64.3325005,3.1399318,0,0,62.461540222168,31.9090900421143,0.0137250451371074,497.284920132316,527.096080745569
"2",2002,"328600",0.929041113,57.92901754,779.3641053,154864.6291,19.16701926,-106.7887016,45.08482165,"High","Expected",1041.5,6.87583333333333,4.47,23.115,25.2,49794.6804218367,281.278857128545,2.70018339933675,6.73420658188405,9.4343899812208,"eu/mixo",-106.769792,45.13061,"4.1411528942","621.4836331533","1","6.66333e-05","0","0","0","0","0","0","0","0","0","0","0","0","4.141152908","621.4836352164","1","6.66333e-05","0","0","0","0","0","0","0","0","0","0","0","0","4.141152908","621.4836352164","1","6.66333e-05","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0",4.2248705968,0,0.7749194791,0.0251908809,0,0,0.019792835,0.0221919665,3.9873565769,0,39.1202384737,51.4823633845,0,0,0.1403491936,0.1637407259,"25.7415058627","6.6393950563","2712.4744723","26.2669086275","36.1302777969","38.1489808285","0","1171.48218353","1039.9822998","1434.57348633","82.97308952","2.5492612087","11.3015641077","0.9710484805","3.8967893623","1.0082350189","0","17.3673130327","0","19.0239133434","49.9349235577","7.7977772047","0",0,0,8.5076728,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,49.9669702,0,0,0,0,0,0,9.5025308,0,0,8.0029313,0,0,64.3325005,3.1399318,0,0,0,0,0,64.3325005,3.1399318,0,0,62.461540222168,31.9090900421143,0.0137250451371074,497.284920132316,527.096080745569
"3",2003,"328600",0.929041113,94.68222038,3288.440499,2346920.343,29.82415805,-106.7887016,45.08482165,"High","High",1041.5,7.75583333333333,9.725,30.9741666666667,19.26,57617.2241958918,282.220607703964,1.1400016911578,9.05686409046918,10.196865781627,"eu/mixo",-106.769792,45.13061,"4.1411528942","621.4836331533","1","6.66333e-05","0","0","0","0","0","0","0","0","0","0","0","0","4.141152908","621.4836352164","1","6.66333e-05","0","0","0","0","0","0","0","0","0","0","0","0","4.141152908","621.4836352164","1","6.66333e-05","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0",4.2248705968,0,0.7749194791,0.0251908809,0,0,0.019792835,0.0221919665,3.9873565769,0,39.1202384737,51.4823633845,0,0,0.1403491936,0.1637407259,"25.7415058627","6.6393950563","2712.4744723","26.2669086275","36.1302777969","38.1489808285","0","1171.48218353","1039.9822998","1434.57348633","82.97308952","2.5492612087","11.3015641077","0.9710484805","3.8967893623","1.0082350189","0","17.3673130327","0","19.0239133434","49.9349235577","7.7977772047","0",0,0,8.5076728,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,49.9669702,0,0,0,0,0,0,9.5025308,0,0,8.0029313,0,0,64.3325005,3.1399318,0,0,0,0,0,64.3325005,3.1399318,0,0,62.461540222168,31.9090900421143,0.0137250451371074,497.284920132316,527.096080745569
"4",2004,"328600",0.929041113,48.83927143,672.9272528,117366.0608,16.41618369,-106.7887016,45.08482165,"Expected","Expected",1041.5,7.78833333333333,8.125,25.3508333333333,22.24,55545.8202429678,282.121415620464,2.62890443366268,7.09921561452589,9.72812004818857,"eu/mixo",-106.769792,45.13061,"4.1411528942","621.4836331533","1","6.66333e-05","0","0","0","0","0","0","0","0","0","0","0","0","4.141152908","621.4836352164","1","6.66333e-05","0","0","0","0","0","0","0","0","0","0","0","0","4.141152908","621.4836352164","1","6.66333e-05","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0",4.2248705968,0,0.7749194791,0.0251908809,0,0,0.019792835,0.0221919665,3.9873565769,0,39.1202384737,51.4823633845,0,0,0.1403491936,0.1637407259,"25.7415058627","6.6393950563","2712.4744723","26.2669086275","36.1302777969","38.1489808285","0","1171.48218353","1039.9822998","1434.57348633","82.97308952","2.5492612087","11.3015641077","0.9710484805","3.8967893623","1.0082350189","0","17.3673130327","0","19.0239133434","49.9349235577","7.7977772047","0",0,0,8.5076728,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,49.9669702,0,0,0,0,0,0,9.5025308,0,0,8.0029313,0,0,64.3325005,3.1399318,0,0,0,0,0,64.3325005,3.1399318,0,0,62.461540222168,31.9090900421143,0.0137250451371074,497.284920132316,527.096080745569
"5",2005,"328600",0.929041113,115.3286106,4478.410826,4204935.125,35.57518785,-106.7887016,45.08482165,"High","High",1041.5,7.61666666666667,7.665,42.39,27.015,76189.0119468539,281.962477275617,0.961019125029441,9.27710013426609,10.2381192592955,"eu/mixo",-106.769792,45.13061,"4.1411528942","621.4836331533","1","6.66333e-05","0","0","0","0","0","0","0","0","0","0","0","0","4.141152908","621.4836352164","1","6.66333e-05","0","0","0","0","0","0","0","0","0","0","0","0","4.141152908","621.4836352164","1","6.66333e-05","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0",4.2248705968,0,0.7749194791,0.0251908809,0,0,0.019792835,0.0221919665,3.9873565769,0,39.1202384737,51.4823633845,0,0,0.1403491936,0.1637407259,"25.7415058627","6.6393950563","2712.4744723","26.2669086275","36.1302777969","38.1489808285","0","1171.48218353","1039.9822998","1434.57348633","82.97308952","2.5492612087","11.3015641077","0.9710484805","3.8967893623","1.0082350189","0","17.3673130327","0","19.0239133434","49.9349235577","7.7977772047","0",0,0,8.5076728,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,49.9669702,0,0,0,0,0,0,9.5025308,0,0,8.0029313,0,0,64.3325005,3.1399318,0,0,0,0,0,64.3325005,3.1399318,0,0,62.461540222168,31.9090900421143,0.0137250451371074,497.284920132316,527.096080745569
"6",2006,"328600",0.929041113,62.32419739,1013.148605,254138.7662,20.47756581,-106.7887016,45.08482165,"High","Expected",1041.5,8.53,7.455,24.4183333333333,14.285,48733.8458485323,282.853540215342,0.735991111137361,9.2819288474875,10.0179199586249,"eu/mixo",-106.769792,45.13061,"4.1411528942","621.4836331533","1","6.66333e-05","0","0","0","0","0","0","0","0","0","0","0","0","4.141152908","621.4836352164","1","6.66333e-05","0","0","0","0","0","0","0","0","0","0","0","0","4.141152908","621.4836352164","1","6.66333e-05","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0",4.2248705968,0,0.7749194791,0.0251908809,0,0,0.019792835,0.0221919665,3.9873565769,0,39.1202384737,51.4823633845,0,0,0.1403491936,0.1637407259,"25.7415058627","6.6393950563","2712.4744723","26.2669086275","36.1302777969","38.1489808285","0","1171.48218353","1039.9822998","1434.57348633","82.97308952","2.5492612087","11.3015641077","0.9710484805","3.8967893623","1.0082350189","0","17.3673130327","0","19.0239133434","49.9349235577","7.7977772047","0",0,0,8.5076728,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,49.9669702,0,0,0,0,0,0,9.5025308,0,0,8.0029313,0,0,64.3325005,3.1399318,0,0,0,0,0,64.3325005,3.1399318,0,0,62.461540222168,31.9090900421143,0.0137250451371074,497.284920132316,527.096080745569
"7",2007,"328600",0.929041113,129.7677324,6458.626353,8394618.943,39.52169648,-106.7887016,45.08482165,"High","High",1041.5,7.65666666666667,6.945,38.6166666666667,25.435,70680.6721264409,282.341584911052,0.747866672385063,9.46534238627834,10.2132090586634,"eu/mixo",-106.769792,45.13061,"4.1411528942","621.4836331533","1","6.66333e-05","0","0","0","0","0","0","0","0","0","0","0","0","4.141152908","621.4836352164","1","6.66333e-05","0","0","0","0","0","0","0","0","0","0","0","0","4.141152908","621.4836352164","1","6.66333e-05","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0",4.2248705968,0,0.7749194791,0.0251908809,0,0,0.019792835,0.0221919665,3.9873565769,0,39.1202384737,51.4823633845,0,0,0.1403491936,0.1637407259,"25.7415058627","6.6393950563","2712.4744723","26.2669086275","36.1302777969","38.1489808285","0","1171.48218353","1039.9822998","1434.57348633","82.97308952","2.5492612087","11.3015641077","0.9710484805","3.8967893623","1.0082350189","0","17.3673130327","0","19.0239133434","49.9349235577","7.7977772047","0",0,0,8.5076728,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,49.9669702,0,0,0,0,0,0,9.5025308,0,0,8.0029313,0,0,64.3325005,3.1399318,0,0,0,0,0,64.3325005,3.1399318,0,0,62.461540222168,31.9090900421143,0.0137250451371074,497.284920132316,527.096080745569
"8",2008,"328600",0.929041113,126.0938775,6639.922131,8845075.053,38.52286456,-106.7887016,45.08482165,"High","High",1041.5,6.23583333333333,5.69,38.175,21.945,70790.3004659017,280.819094888353,0.767680952570418,9.45863949626082,10.2263204488312,"eu/mixo",-106.769792,45.13061,"4.1411528942","621.4836331533","1","6.66333e-05","0","0","0","0","0","0","0","0","0","0","0","0","4.141152908","621.4836352164","1","6.66333e-05","0","0","0","0","0","0","0","0","0","0","0","0","4.141152908","621.4836352164","1","6.66333e-05","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0",4.2248705968,0,0.7749194791,0.0251908809,0,0,0.019792835,0.0221919665,3.9873565769,0,39.1202384737,51.4823633845,0,0,0.1403491936,0.1637407259,"25.7415058627","6.6393950563","2712.4744723","26.2669086275","36.1302777969","38.1489808285","0","1171.48218353","1039.9822998","1434.57348633","82.97308952","2.5492612087","11.3015641077","0.9710484805","3.8967893623","1.0082350189","0","17.3673130327","0","19.0239133434","49.9349235577","7.7977772047","0",0,0,8.5076728,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,49.9669702,0,0,0,0,0,0,9.5025308,0,0,8.0029313,0,0,64.3325005,3.1399318,0,0,0,0,0,64.3325005,3.1399318,0,0,62.461540222168,31.9090900421143,0.0137250451371074,497.284920132316,527.096080745569
"9",2009,"328600",0.929041113,90.65972442,3668.706947,2885542.861,28.68673009,-106.7887016,45.08482165,"High","High",1041.5,6.41166666666667,4.075,30.6683333333333,30.225,56618.9293185365,280.74506621854,0.777102967823463,9.52388866949247,10.3009916373159,"eu/mixo",-106.769792,45.13061,"4.1411528942","621.4836331533","1","6.66333e-05","0","0","0","0","0","0","0","0","0","0","0","0","4.141152908","621.4836352164","1","6.66333e-05","0","0","0","0","0","0","0","0","0","0","0","0","4.141152908","621.4836352164","1","6.66333e-05","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0",4.2248705968,0,0.7749194791,0.0251908809,0,0,0.019792835,0.0221919665,3.9873565769,0,39.1202384737,51.4823633845,0,0,0.1403491936,0.1637407259,"25.7415058627","6.6393950563","2712.4744723","26.2669086275","36.1302777969","38.1489808285","0","1171.48218353","1039.9822998","1434.57348633","82.97308952","2.5492612087","11.3015641077","0.9710484805","3.8967893623","1.0082350189","0","17.3673130327","0","19.0239133434","49.9349235577","7.7977772047","0",0,0,8.5076728,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,49.9669702,0,0,0,0,0,0,9.5025308,0,0,8.0029313,0,0,64.3325005,3.1399318,0,0,0,0,0,64.3325005,3.1399318,0,0,62.461540222168,31.9090900421143,0.0137250451371074,497.284920132316,527.096080745569
"10",2010,"328600",0.929041113,112.0247613,4481.183499,4209851.929,34.66395364,-106.7887016,45.08482165,"High","High",1041.5,7,7.71,33.9366666666667,17.08,63136.4021236644,281.34426171075,0.763215075366212,9.52175521191621,10.2849702872824,"eu/mixo",-106.769792,45.13061,"4.1411528942","621.4836331533","1","6.66333e-05","0","0","0","0","0","0","0","0","0","0","0","0","4.141152908","621.4836352164","1","6.66333e-05","0","0","0","0","0","0","0","0","0","0","0","0","4.141152908","621.4836352164","1","6.66333e-05","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0",4.2248705968,0,0.7749194791,0.0251908809,0,0,0.019792835,0.0221919665,3.9873565769,0,39.1202384737,51.4823633845,0,0,0.1403491936,0.1637407259,"25.7415058627","6.6393950563","2712.4744723","26.2669086275","36.1302777969","38.1489808285","0","1171.48218353","1039.9822998","1434.57348633","82.97308952","2.5492612087","11.3015641077","0.9710484805","3.8967893623","1.0082350189","0","17.3673130327","0","19.0239133434","49.9349235577","7.7977772047","0",0,0,8.5076728,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,49.9669702,0,0,0,0,0,0,9.5025308,0,0,8.0029313,0,0,64.3325005,3.1399318,0,0,0,0,0,64.3325005,3.1399318,0,0,62.461540222168,31.9090900421143,0.0137250451371074,497.284920132316,527.096080745569
