water_year,lagoslakeid,res_time_yr,total_Pin_ugl,totTNload_gm2yr,TN_removal_gNm2yr,Pret_coef,lake_lon_decdeg,lake_lat_decdeg
2001,328600,0.929041113,53.16486713,845.732237,180703.39,17.73248467,-106.7887016,45.08482165
2002,328600,0.929041113,57.92901754,779.3641053,154864.6291,19.16701926,-106.7887016,45.08482165
2003,328600,0.929041113,94.68222038,3288.440499,2346920.343,29.82415805,-106.7887016,45.08482165
2004,328600,0.929041113,48.83927143,672.9272528,117366.0608,16.41618369,-106.7887016,45.08482165
2005,328600,0.929041113,115.3286106,4478.410826,4204935.125,35.57518785,-106.7887016,45.08482165
2006,328600,0.929041113,62.32419739,1013.148605,254138.7662,20.47756581,-106.7887016,45.08482165
2007,328600,0.929041113,129.7677324,6458.626353,8394618.943,39.52169648,-106.7887016,45.08482165
2008,328600,0.929041113,126.0938775,6639.922131,8845075.053,38.52286456,-106.7887016,45.08482165
2009,328600,0.929041113,90.65972442,3668.706947,2885542.861,28.68673009,-106.7887016,45.08482165
2010,328600,0.929041113,112.0247613,4481.183499,4209851.929,34.66395364,-106.7887016,45.08482165
2011,328600,0.929041113,146.9311595,9149.211837,16201934.55,44.14423637,-106.7887016,45.08482165
2012,328600,0.929041113,73.99797379,1999.796866,917607.0203,23.90561058,-106.7887016,45.08482165
2013,328600,0.929041113,81.54750687,1702.857064,677409.7625,26.08671338,-106.7887016,45.08482165
2014,328600,0.929041113,110.5158517,5189.215043,5553374.106,34.24669773,-106.7887016,45.08482165
2015,328600,0.929041113,118.0923666,4180.158211,3691863.089,36.33501853,-106.7887016,45.08482165
2001,336493,3.878356097,29.96215411,48.88511814,830.5540007,7.281204483,-103.5208342,44.07978478
2002,336493,3.878356097,30.91980368,39.40755235,552.8981479,7.497231216,-103.5208342,44.07978478
2003,336493,3.878356097,38.06567354,32.55681923,385.5220427,9.084428036,-103.5208342,44.07978478
2004,336493,3.878356097,18.20427208,17.16850621,115.1656254,4.544439392,-103.5208342,44.07978478
2005,336493,3.878356097,15.89504767,12.36496795,61.97138376,3.98314283,-103.5208342,44.07978478
2006,336493,3.878356097,17.19627174,14.74136133,86.36523038,4.300652204,-103.5208342,44.07978478
2007,336493,3.878356097,15.06654628,11.28806262,52.17608929,3.779202613,-103.5208342,44.07978478
2008,336493,3.878356097,14.69149572,11.64662945,55.34951154,3.686396277,-103.5208342,44.07978478
2009,336493,3.878356097,19.0999068,20.10229666,155.1257655,4.759572427,-103.5208342,44.07978478
2010,336493,3.878356097,30.51119067,32.62065105,386.9504495,7.405161182,-103.5208342,44.07978478
2011,336493,3.878356097,35.92435179,51.90002652,929.9119463,8.613085257,-103.5208342,44.07978478
2012,336493,3.878356097,17.89982767,28.93601961,308.5826337,4.470999527,-103.5208342,44.07978478
2013,336493,3.878356097,14.17426964,19.15277658,141.5816961,3.557888221,-103.5208342,44.07978478
2014,336493,3.878356097,16.63707153,25.87083036,249.7785823,4.164604783,-103.5208342,44.07978478
2015,336493,3.878356097,21.16360343,36.05542371,467.4627263,5.250408245,-103.5208342,44.07978478
2010,341691,1.140274006,124.2560607,446.7245068,54149.25836,36.33441969,-102.2712718,45.77836485
2011,341691,1.140274006,129.1255529,1717.107344,688153.0343,37.60106312,-102.2712718,45.77836485
2012,341691,1.140274006,74.35644484,107.2030548,3658.257658,22.94418432,-102.2712718,45.77836485
2013,341691,1.140274006,91.19593051,386.2532007,41145.69042,27.55879959,-102.2712718,45.77836485
2014,341691,1.140274006,86.53671087,1553.348505,569505.5078,26.29332897,-102.2712718,45.77836485
2015,341691,1.140274006,74.77265351,390.6169864,42027.79009,23.05968115,-102.2712718,45.77836485
2001,360319,0.025205479,54.66574802,137.1493488,5824.75664,28.93093567,-105.3274898,39.63203338
2002,360319,0.025205479,54.31469897,67.8355346,1541.738284,28.76238569,-105.3274898,39.63203338
2003,360319,0.025205479,42.27865875,138.4984158,5933.409022,22.89434439,-105.3274898,39.63203338
2004,360319,0.025205479,39.20929276,116.6581538,4291.244645,21.36643652,-105.3274898,39.63203338
2005,360319,0.025205479,34.96318394,116.5475243,4283.564215,19.22765976,-105.3274898,39.63203338
2006,360319,0.025205479,33.3285703,61.97804635,1300.049203,18.39577845,-105.3274898,39.63203338
2007,360319,0.025205479,26.53472155,137.0328728,5815.420093,14.87930406,-105.3274898,39.63203338
