"water_year","flux_kgy","flow_m3y","tp_mgl","RSQ","p.value","RMSE"
2001,137.578459070358,1397261.62387948,0.122,87.0553375665572,1.11022302462516e-16,0.790811654120137
2002,93.1601945823114,943154.872782329,0.0736666666666667,87.0553375665572,1.11022302462516e-16,0.790811654120137
2003,84.4044460059291,905844.595713767,0.1225,87.0553375665572,1.11022302462516e-16,0.790811654120137
2004,88.0920148521137,952850.598192003,0.136666666666667,87.0553375665572,1.11022302462516e-16,0.790811654120137
2005,74.6858371573162,891042.813663616,0.091,87.0553375665572,1.11022302462516e-16,0.790811654120137
2006,73.6558811938338,912034.43184383,0.148,87.0553375665572,1.11022302462516e-16,0.790811654120137
2007,69.594081935556,910028.239896537,0.068,87.0553375665572,1.11022302462516e-16,0.790811654120137
2008,64.2263190027925,891487.341734038,0.075,87.0553375665572,1.11022302462516e-16,0.790811654120137
2009,120.31813585485,1328514.9869508,0.19,87.0553375665572,1.11022302462516e-16,0.790811654120137
2010,90.6495540792174,1146245.10881258,0.0265,87.0553375665572,1.11022302462516e-16,0.790811654120137
2011,116.436952002303,1435405.87253279,0.075,87.0553375665572,1.11022302462516e-16,0.790811654120137
2012,56.6019122042912,962463.768388598,0.045,87.0553375665572,1.11022302462516e-16,0.790811654120137
2013,51.6970243366344,937650.077805,0.055,87.0553375665572,1.11022302462516e-16,0.790811654120137
2014,118.785569692937,1916217.80606412,0.13,87.0553375665572,1.11022302462516e-16,0.790811654120137
