"water_year","flux_kgy","flow_m3y","tp_mgl","RSQ","p.value","RMSE"
2001,22.8031052979227,1234126.1024062,0.04,81.1731055467891,0,0.380739577954994
2002,18.4191640128698,1075514.60979277,0.0313333333333333,81.1731055467891,0,0.380739577954994
2003,17.6299732635317,1083832.9666474,0.0185,81.1731055467891,0,0.380739577954994
2004,20.3959935924772,1217505.56550792,0.0224,81.1731055467891,0,0.380739577954994
2005,20.0107442181278,1238701.19867625,0.0214,81.1731055467891,0,0.380739577954994
2006,21.0466283230042,1315279.01324975,0.0162,81.1731055467891,0,0.380739577954994
2007,23.3628442325828,1437607.79052373,0.0194,81.1731055467891,0,0.380739577954994
2008,23.3457159968203,1491993.2932026,0.0221666666666667,81.1731055467891,0,0.380739577954994
2009,15.9458969680506,1188546.39999392,0.0155,81.1731055467891,0,0.380739577954994
2010,16.0309626658085,1231924.18441527,0.0164,81.1731055467891,0,0.380739577954994
2011,17.3245771586333,1331181.75429537,0.0176,81.1731055467891,0,0.380739577954994
2012,14.6139601943343,1225557.2055203,0.0146,81.1731055467891,0,0.380739577954994
2013,16.6170481927896,1365972.05855209,0.0136,81.1731055467891,0,0.380739577954994
2014,13.4058324582867,1417034.2392053,0.0198,81.1731055467891,0,0.380739577954994
