water_year,flux_kgy,flow_m3y,tn_mgl,RSQ,p.value,RMSE
2001,1244115.021,13193830.77,2.8187,94.75212043,0,0.199137801
2002,1332835.435,47656845.05,2.5394,94.75212043,0,0.199137801
2003,1343197.297,34477142.59,3.183181818,94.75212043,0,0.199137801
2004,1383057.233,35781000.24,3.094333333,94.75212043,0,0.199137801
2005,1403815.9,24847421.24,2.8,94.75212043,0,0.199137801
2006,1494934.4,56466963.59,2.9369,94.75212043,0,0.199137801
2007,1505196.813,44468957.11,3.177833333,94.75212043,0,0.199137801
2008,1554546.635,48278121.49,3.384333333,94.75212043,0,0.199137801
2009,1552840.136,28644506.49,3.407583333,94.75212043,0,0.199137801
2010,1615554.51,41503707.55,3.245333333,94.75212043,0,0.199137801
2011,1700853.867,63610964.18,2.674083333,94.75212043,0,0.199137801
2012,852837.1156,77463490.5,3.024166667,94.75212043,0,0.199137801
