water_year,flux_kgy,flow_m3y,tn_mgl,RSQ,p.value,RMSE
2001,1253.967295,938485.6334,1.6686,94.88199617,0,0.378041788
2002,1165.362483,914896.9252,1.54075,94.88199617,0,0.378041788
2003,1063.173608,902492.7872,1.039666667,94.88199617,0,0.378041788
2004,996.7002391,898245.8396,0.975,94.88199617,0,0.378041788
2005,965.7672238,904327.7189,0.916333333,94.88199617,0,0.378041788
2006,992.6777249,926053.3097,1.7075,94.88199617,0,0.378041788
2007,938.8216017,899434.5678,0.83925,94.88199617,0,0.378041788
2008,983.6423126,918448.1363,0.9852,94.88199617,0,0.378041788
2009,1017.35762,920695.3093,1.2514,94.88199617,0,0.378041788
2010,1094.652164,923802.4602,1.680333333,94.88199617,0,0.378041788
2011,1186.283932,928671.1456,1.8823,94.88199617,0,0.378041788
2012,1276.845909,919350.896,2.1891,94.88199617,0,0.378041788
2013,1400.374491,902125.8009,1.2968,94.88199617,0,0.378041788
2014,215.0799045,877104.6728,0.715,94.88199617,0,0.378041788
