water_year,flux_kgy,flow_m3y,tn_mgl,RSQ,p.value,RMSE
2003,1707.010005,1665324.463,1.329533,96.01252087,0,0.295082955
2004,1743.136506,1273623.057,1.5930965,96.01252087,0,0.295082955
2005,1129.468006,893000.0741,NA,96.01252087,0,0.295082955
2006,1418.470932,1289761.23,0.896,96.01252087,0,0.295082955
2007,1533.026589,1647475.041,0.821179143,96.01252087,0,0.295082955
2008,1394.958353,1453687.006,0.910714286,96.01252087,0,0.295082955
2009,2015.318639,2191128.593,0.9224975,96.01252087,0,0.295082955
2010,2304.582106,2387148.225,0.968178182,96.01252087,0,0.295082955
2011,2017.489827,1929589.667,1.09613,96.01252087,0,0.295082955
2012,2177.826849,1746839.899,1.1313875,96.01252087,0,0.295082955
2013,2164.127138,1595069.393,1.292685714,96.01252087,0,0.295082955
2014,676.3193118,1744893.796,1.986666667,96.01252087,0,0.295082955
