water_year,flux_kgy,flow_m3y,tn_mgl,RSQ,p.value,RMSE
2001,5197.693714,1635198.758,2.316666667,89.79426925,0,0.17618962
2002,5366.705282,1595901.228,2.219166667,89.79426925,0,0.17618962
2003,5731.836586,1657065.617,2.3175,89.79426925,0,0.17618962
2004,5874.592219,1619111.61,2.31,89.79426925,0,0.17618962
2005,6139.471925,1704773.84,2.489166667,89.79426925,0,0.17618962
2006,6662.745593,1900499.884,2.7375,89.79426925,0,0.17618962
2007,7774.652496,2207055.8,2.456666667,89.79426925,0,0.17618962
2008,6699.660726,1876349.309,2.343333333,89.79426925,0,0.17618962
2009,6637.185556,1878749.827,2.564166667,89.79426925,0,0.17618962
2010,6233.217249,1707293.813,2.481666667,89.79426925,0,0.17618962
2011,6240.553172,1801168.917,2.528333333,89.79426925,0,0.17618962
2012,5602.930927,1663623.213,2.3275,89.79426925,0,0.17618962
