water_year,flux_kgy,flow_m3y,tn_mgl,RSQ,p.value,RMSE
2003,164.5772,1200931.134,1.29,71.73466553,4.44E-16,0.73285651
2004,440.2857219,1205306.111,1.358,71.73466553,4.44E-16,0.73285651
2005,427.9922686,1227520.348,1.394,71.73466553,4.44E-16,0.73285651
2006,617.6407749,1305248.054,1.628,71.73466553,4.44E-16,0.73285651
2007,1745.141468,1429778.749,1.476,71.73466553,4.44E-16,0.73285651
2008,774.0206466,1328520.602,1.344,71.73466553,4.44E-16,0.73285651
2009,869.9819229,1344662.386,1.072,71.73466553,4.44E-16,0.73285651
2010,703.0244777,1235520.65,1.043,71.73466553,4.44E-16,0.73285651
2011,738.6425881,1334117.645,1.208,71.73466553,4.44E-16,0.73285651
2012,544.2633779,1210869.062,0.952,71.73466553,4.44E-16,0.73285651
2013,922.8053683,1366926.223,1.344,71.73466553,4.44E-16,0.73285651
2014,635.9381293,1385815.03,1.362,71.73466553,4.44E-16,0.73285651
