"water_year","flux_kgy","flow_m3y","tp_mgl","RSQ","p.value","RMSE"
2001,40.4981269602141,1334972.22345034,0.0902,77.4761515152853,0,0.370744665475938
2002,23.5727624390846,1171420.37117556,0.074,77.4761515152853,0,0.370744665475938
2003,14.561091368165,1079673.78822008,0.0505,77.4761515152853,0,0.370744665475938
2004,21.7324100421949,1207746.00185656,0.0776,77.4761515152853,0,0.370744665475938
2005,20.944383534062,1237967.2260126,0.0504,77.4761515152853,0,0.370744665475938
2006,25.0354817303306,1339010.7960409,0.0538,77.4761515152853,0,0.370744665475938
2007,24.8182229361996,1352956.27665014,0.0452,77.4761515152853,0,0.370744665475938
2008,22.1984863252411,1317053.11475186,0.0498,77.4761515152853,0,0.370744665475938
2009,21.2907706532356,1300477.2311996,0.0524,77.4761515152853,0,0.370744665475938
2010,19.9325894281432,1231973.11592618,0.0638,77.4761515152853,0,0.370744665475938
2011,23.758161326639,1303046.13552236,0.048,77.4761515152853,0,0.370744665475938
2012,21.2890953178,1231925.32080282,0.0526,77.4761515152853,0,0.370744665475938
2013,27.7002628714503,1328196.93212988,0.0572,77.4761515152853,0,0.370744665475938
2014,28.6722390604407,1392338.52383896,0.0734,77.4761515152853,0,0.370744665475938
