water_year,flux_TN_kgy,flux_TP_kgy,flux_TN_kgy_se,flux_TP_kgy_se,flow_m3y,tp_mgl,tn_mgl,RSQ_TN,p.value_TN,RMSE_TN,RSQ_TP,p.value_TP,RMSE_TP
2001,5557.069012,1156.489022,1697.722057,NA,NA,NA,NA,91.87222707,2.36477504245158e-14,0.391838157,89.96632454,3.29847260616134e-13,0.370598613
2002,1747.277445,207.5756223,293.6361403,34.55968183,NA,0.04975,0.27,91.87222707,2.36477504245158e-14,0.391838157,89.96632454,3.29847260616134e-13,0.370598613
2003,983.6730795,154.9941943,149.771862,33.97408578,NA,0.1635,0.628,91.87222707,2.36477504245158e-14,0.391838157,89.96632454,3.29847260616134e-13,0.370598613
2004,11459.82542,9967.713306,4891.152801,26140.43128,NA,0.058,0.228,91.87222707,2.36477504245158e-14,0.391838157,89.96632454,3.29847260616134e-13,0.370598613
2005,47980.59415,7950.418359,248695.0929,4643223.526,575828173.4,0.085,0.519,91.87222707,2.36477504245158e-14,0.391838157,89.96632454,3.29847260616134e-13,0.370598613
2006,24186.5712,7097.80711,5871.135583,6454.201914,45998311.49,0.054,0.5665,91.87222707,2.36477504245158e-14,0.391838157,89.96632454,3.29847260616134e-13,0.370598613
2007,5695.461509,797.7275303,575.8864742,77.71089625,15561810.74,0.042,0.45,91.87222707,2.36477504245158e-14,0.391838157,89.96632454,3.29847260616134e-13,0.370598613
2008,2243.376899,382.4167909,199.0803251,60.9549247,NA,0.035,0.285,91.87222707,2.36477504245158e-14,0.391838157,89.96632454,3.29847260616134e-13,0.370598613
2009,3160.100147,782.6613752,510.909616,203.168651,10060367.57,0.0365,0.145,91.87222707,2.36477504245158e-14,0.391838157,89.96632454,3.29847260616134e-13,0.370598613
2010,24838.76083,22170.47053,8502.545458,28787.38444,62802958.14,0.08,0.2,91.87222707,2.36477504245158e-14,0.391838157,89.96632454,3.29847260616134e-13,0.370598613
2011,2462.179013,551.8525688,275.1391985,49.9989244,10862942.22,0.04,0.225,91.87222707,2.36477504245158e-14,0.391838157,89.96632454,3.29847260616134e-13,0.370598613
2012,1718.281471,443.929887,216.3921141,43.04956033,8494748.601,0.0405,0.22,91.87222707,2.36477504245158e-14,0.391838157,89.96632454,3.29847260616134e-13,0.370598613
2013,5476.549159,10579.94178,2017.412731,26866.10091,NA,0.048,0.14,91.87222707,2.36477504245158e-14,0.391838157,89.96632454,3.29847260616134e-13,0.370598613
2014,1373.493534,755.9309377,327.0947973,320.6946041,NA,0.05,0.15,91.87222707,2.36477504245158e-14,0.391838157,89.96632454,3.29847260616134e-13,0.370598613
2015,132.1940864,82.71679881,28.19463292,13.85196414,NA,NA,NA,91.87222707,2.36477504245158e-14,0.391838157,89.96632454,3.29847260616134e-13,0.370598613
