"water_year","flux_TN_kgy","flux_TP_kgy","flux_TN_kgy_se","flux_TP_kgy_se","flow_m3y","tp_mgl","tn_mgl","RSQ_TN","p.value_TN","RMSE_TN","RSQ_TP","p.value_TP","RMSE_TP"
2001,6108.66503047629,684.37887264205,255.599677493611,54.8685358604534,31882059.9058064,0.0234166666666667,0.165833333333333,93.0745738059615,0,0.459673386995724,92.7218428978666,0,0.514857040539621
2002,12429.4510821373,1629.73843504104,510.295104445919,107.776104940728,60818858.7726982,0.0244583333333333,0.295833333333333,93.0745738059615,0,0.459673386995724,92.7218428978666,0,0.514857040539621
2003,16568.442769235,2602.86172921408,742.464097724431,159.184422522611,76294036.2759867,0.046,0.241538461538462,93.0745738059615,0,0.459673386995724,92.7218428978666,0,0.514857040539621
2004,11083.9907573796,1642.16525329785,439.053404176194,82.5086899931564,53970094.2051451,0.02516,0.2176,93.0745738059615,0,0.459673386995724,92.7218428978666,0,0.514857040539621
2005,22630.398478106,4333.39926655495,1104.71518605289,257.64309977701,97703945.477211,0.0381515151515152,0.22030303030303,93.0745738059615,0,0.459673386995724,92.7218428978666,0,0.514857040539621
2006,44199.4373454091,9749.84363382208,2775.89777837859,784.13877012656,155186433.644294,0.0451875,0.239375,93.0745738059615,0,0.459673386995724,92.7218428978666,0,0.514857040539621
2007,9382.65323840654,1545.0116787764,393.148969176071,86.6696627044222,46956414.9374789,0.0351964285714286,0.2,93.0745738059615,0,0.459673386995724,92.7218428978666,0,0.514857040539621
2008,8646.36177251461,1492.23842891929,353.804315631785,81.8610420714217,44187497.9835618,0.0467307692307692,0.170384615384615,93.0745738059615,0,0.459673386995724,92.7218428978666,0,0.514857040539621
2009,14491.2797855738,2748.75645307808,607.055907236718,148.352625894285,66493176.9695733,0.0431,0.19,93.0745738059615,0,0.459673386995724,92.7218428978666,0,0.514857040539621
2010,15331.2157061682,3046.91526757688,696.965769042025,173.179617424392,72883852.4861647,0.046,0.247857142857143,93.0745738059615,0,0.459673386995724,92.7218428978666,0,0.514857040539621
2011,40551.5125448655,9043.28102799321,2181.53701795459,601.365538980824,163601821.685058,0.047972972972973,0.224594594594595,93.0745738059615,0,0.459673386995724,92.7218428978666,0,0.514857040539621
2012,10659.3214228769,1841.73880474309,448.80082520716,101.278222072994,50849937.3068942,0.0479047619047619,0.181428571428571,93.0745738059615,0,0.459673386995724,92.7218428978666,0,0.514857040539621
2013,11594.563807196,1954.05964976887,536.800134602739,127.218101114995,55178376.7156172,0.0454,0.248333333333333,93.0745738059615,0,0.459673386995724,92.7218428978666,0,0.514857040539621
2014,7870.87862296356,1185.7840419168,341.832433712055,84.756819518102,39550802.0216008,0.034304347826087,0.195217391304348,93.0745738059615,0,0.459673386995724,92.7218428978666,0,0.514857040539621
2015,5432.81936358573,751.360725746392,266.694178570564,66.4982869526134,27312541.8280035,0.0334444444444444,0.226666666666667,93.0745738059615,0,0.459673386995724,92.7218428978666,0,0.514857040539621
