"water_year","flux_TN_kgy","flux_TP_kgy","flux_TN_kgy_se","flux_TP_kgy_se","flow_m3y","tp_mgl","tn_mgl","RSQ_TN","p.value_TN","RMSE_TN","RSQ_TP","p.value_TP","RMSE_TP"
2001,370733.125120727,56.4904068569742,140301.835194547,22586.1004079835,895953090.783394,NA,NA,60.4136002969988,1.3782996965972e-10,0.532613892299455,63.4643969986676,9.02022900817201e-12,0.722163357122532
2002,347417.427542388,569.941101074038,114143.031198605,16939.4387911846,864712767.643167,NA,NA,60.4136002969988,1.3782996965972e-10,0.532613892299455,63.4643969986676,9.02022900817201e-12,0.722163357122532
2003,313862.59479192,3023.99933443218,88700.4901477747,16128.4655468744,818218045.976875,NA,NA,60.4136002969988,1.3782996965972e-10,0.532613892299455,63.4643969986676,9.02022900817201e-12,0.722163357122532
2004,329848.665892165,11105.70536134,79441.2251560888,19294.7070050244,949183442.150002,NA,NA,60.4136002969988,1.3782996965972e-10,0.532613892299455,63.4643969986676,9.02022900817201e-12,0.722163357122532
2005,398691.211119557,37185.7995353566,83188.9708504863,24901.8427517497,1470073848.01224,NA,NA,60.4136002969988,1.3782996965972e-10,0.532613892299455,63.4643969986676,9.02022900817201e-12,0.722163357122532
2006,497657.744254165,83896.1717905892,88733.7374123479,38619.0475139128,2089801219.98437,0.0288,0.172,60.4136002969988,1.3782996965972e-10,0.532613892299455,63.4643969986676,9.02022900817201e-12,0.722163357122532
2007,284070.733557428,58826.8681846026,37107.0466505353,15437.4819294111,957692424.673568,0.05825,0.30875,60.4136002969988,1.3782996965972e-10,0.532613892299455,63.4643969986676,9.02022900817201e-12,0.722163357122532
2008,231728.675133409,53262.699654247,24742.9517973822,12537.0312901855,763851768.301472,0.159375,0.874,60.4136002969988,1.3782996965972e-10,0.532613892299455,63.4643969986676,9.02022900817201e-12,0.722163357122532
2009,220006.408518725,48811.9269565129,21854.2453898962,10557.6914803722,791613983.495332,0.0395833333333333,0.284571428571429,60.4136002969988,1.3782996965972e-10,0.532613892299455,63.4643969986676,9.02022900817201e-12,0.722163357122532
2010,227989.41307624,42376.6725668406,25533.1847129768,9184.85402631394,940162710.890207,0.0905833333333333,0.199666666666667,60.4136002969988,1.3782996965972e-10,0.532613892299455,63.4643969986676,9.02022900817201e-12,0.722163357122532
2011,390862.928345525,66506.7166701318,60839.3138020948,24742.8749096969,2286471641.78328,0.0268333333333333,0.212083333333333,60.4136002969988,1.3782996965972e-10,0.532613892299455,63.4643969986676,9.02022900817201e-12,0.722163357122532
2012,197515.556856022,15486.5142235221,30968.3633197662,6492.82998021439,885302218.269985,0.0178333333333333,0.234833333333333,60.4136002969988,1.3782996965972e-10,0.532613892299455,63.4643969986676,9.02022900817201e-12,0.722163357122532
2013,161304.843295552,5440.65793706937,30682.6125172517,4690.24448783737,712562681.045345,NA,NA,60.4136002969988,1.3782996965972e-10,0.532613892299455,63.4643969986676,9.02022900817201e-12,0.722163357122532
2014,115258.688301646,1061.37179685087,26801.9522379827,2280.84574256788,478271267.083596,NA,NA,60.4136002969988,1.3782996965972e-10,0.532613892299455,63.4643969986676,9.02022900817201e-12,0.722163357122532
2015,68245.836504942,123.189522699287,19385.3888230926,782.190742386039,234570323.573933,NA,NA,60.4136002969988,1.3782996965972e-10,0.532613892299455,63.4643969986676,9.02022900817201e-12,0.722163357122532
