"water_year","flux_TN_kgy","flux_TP_kgy","flux_TN_kgy_se","flux_TP_kgy_se","flow_m3y","tp_mgl","tn_mgl","RSQ_TN","p.value_TN","RMSE_TN","RSQ_TP","p.value_TP","RMSE_TP"
2001,34208.7182452191,773.866992509713,6841.31050113065,65.5460777594501,NA,NA,NA,98.2530324157964,0,0.189965760680728,95.0378547045419,0,0.305056303774001
2002,15485.0349162997,283.148163311049,2762.10005859747,19.1275767808713,NA,0.01,0.6,98.2530324157964,0,0.189965760680728,95.0378547045419,0,0.305056303774001
2003,70208.9406005329,959.165066967989,9401.83505275352,99.5563102196058,NA,0.01,0.941666666666667,98.2530324157964,0,0.189965760680728,95.0378547045419,0,0.305056303774001
2004,29583.4956075738,442.222250582071,3379.41413449229,31.5512721139084,NA,0.0126666666666667,0.8,98.2530324157964,0,0.189965760680728,95.0378547045419,0,0.305056303774001
2005,46301.1960006203,642.801405112335,4114.53715118959,53.9042643823049,52687004.3719,NA,NA,98.2530324157964,0,0.189965760680728,95.0378547045419,0,0.305056303774001
2006,51844.9819270467,741.14009877228,4919.86474758189,63.3796122343878,60354082.8163235,0.0136666666666667,0.8,98.2530324157964,0,0.189965760680728,95.0378547045419,0,0.305056303774001
2007,63042.2170903052,964.233030597753,6301.04196251654,88.878843350217,77326466.6904236,0.01,0.8,98.2530324157964,0,0.189965760680728,95.0378547045419,0,0.305056303774001
2008,45093.9733155067,838.663742835195,3946.82000103455,74.2636493870469,67595225.8275443,0.01,0.6,98.2530324157964,0,0.189965760680728,95.0378547045419,0,0.305056303774001
2009,42042.8209058358,936.276248679003,3860.1843256166,87.80069229628,75032802.1165366,0.011,0.635,98.2530324157964,0,0.189965760680728,95.0378547045419,0,0.305056303774001
2010,24064.1864915138,733.800339651847,2487.72087322757,64.6833629449842,59559679.7367063,0.01,0.4875,98.2530324157964,0,0.189965760680728,95.0378547045419,0,0.305056303774001
2011,36468.053684623,1388.95056490161,5750.90443777212,156.56744520018,107985850.467377,0.025,0.4,98.2530324157964,0,0.189965760680728,95.0378547045419,0,0.305056303774001
2012,7081.73525921329,471.843870593841,1477.32517756459,31.7968314400812,39991763.9742029,NA,NA,98.2530324157964,0,0.189965760680728,95.0378547045419,0,0.305056303774001
2013,7289.99120188847,789.721728060972,2104.66217563795,70.9037081482223,63727861.5620288,NA,NA,98.2530324157964,0,0.189965760680728,95.0378547045419,0,0.305056303774001
2014,7413.74883455003,1274.44489410642,2919.6338649987,130.843075611239,100379814.082813,NA,NA,98.2530324157964,0,0.189965760680728,95.0378547045419,0,0.305056303774001
2015,3250.13628994761,1044.21717000557,1783.31248458668,108.326551943931,82585625.4829862,NA,NA,98.2530324157964,0,0.189965760680728,95.0378547045419,0,0.305056303774001
