"water_year","flux_TN_kgy","flux_TP_kgy","flux_TN_kgy_se","flux_TP_kgy_se","flow_m3y","tp_mgl","tn_mgl","RSQ_TN","p.value_TN","RMSE_TN","RSQ_TP","p.value_TP","RMSE_TP"
2001,193812.945980137,193812.945980137,15653.4363971489,15653.4363971489,3586305423.61442,NA,NA,92.4849075382488,0,0.338441770274605,92.4849075382488,0,0.338441770274605
2002,180780.504205555,180780.504205555,14508.9402247088,14508.9402247088,3297232736.61384,NA,NA,92.4849075382488,0,0.338441770274605,92.4849075382488,0,0.338441770274605
2003,179772.003854934,179772.003854934,14461.6783984991,14461.6783984991,3320489883.74917,NA,NA,92.4849075382488,0,0.338441770274605,92.4849075382488,0,0.338441770274605
2004,161209.494835242,161209.494835242,13956.5959545572,13956.5959545572,3024574171.74031,NA,NA,92.4849075382488,0,0.338441770274605,92.4849075382488,0,0.338441770274605
2005,170037.26704738,170037.26704738,13785.9340267201,13785.9340267201,3074452460.59357,NA,NA,92.4849075382488,0,0.338441770274605,92.4849075382488,0,0.338441770274605
2006,240712.410290486,240712.410290486,20083.8877250916,20083.8877250916,4932514044.91012,NA,NA,92.4849075382488,0,0.338441770274605,92.4849075382488,0,0.338441770274605
2007,215379.995511549,215379.995511549,17118.9265679077,17118.9265679077,4062690380.95245,NA,NA,92.4849075382488,0,0.338441770274605,92.4849075382488,0,0.338441770274605
2008,199398.718094467,199398.718094467,15217.1118950982,15217.1118950982,3676098242.19638,0.0883333333333333,0.708333333333333,92.4849075382488,0,0.338441770274605,92.4849075382488,0,0.338441770274605
2009,262553.848540888,262553.848540888,21443.010435161,21443.010435161,5396007995.69902,0.0503809523809524,0.516666666666667,92.4849075382488,0,0.338441770274605,92.4849075382488,0,0.338441770274605
2010,229135.27018674,229135.27018674,18067.2536268801,18067.2536268801,4244661776.87412,0.0494347826086957,0.596304347826087,92.4849075382488,0,0.338441770274605,92.4849075382488,0,0.338441770274605
2011,382911.156046119,382911.156046119,36184.0092692998,36184.0092692998,8200480844.84894,0.0481363636363636,0.549772727272727,92.4849075382488,0,0.338441770274605,92.4849075382488,0,0.338441770274605
2012,347372.703569711,347372.703569711,31673.9595074974,31673.9595074974,6460904333.93176,0.065,0.52,92.4849075382488,0,0.338441770274605,92.4849075382488,0,0.338441770274605
2013,193083.262367335,193083.262367335,15103.5546548826,15103.5546548826,3639342288.28932,NA,NA,92.4849075382488,0,0.338441770274605,92.4849075382488,0,0.338441770274605
2014,196765.350481793,196765.350481793,15183.443385279,15183.443385279,3760308322.98446,NA,NA,92.4849075382488,0,0.338441770274605,92.4849075382488,0,0.338441770274605
2015,215841.082426998,215841.082426998,16632.5744440186,16632.5744440186,4114983486.66153,NA,NA,92.4849075382488,0,0.338441770274605,92.4849075382488,0,0.338441770274605
