"water_year","flux_TN_kgy","flux_TP_kgy","flux_TN_kgy_se","flux_TP_kgy_se","flow_m3y","tp_mgl","tn_mgl","RSQ_TN","p.value_TN","RMSE_TN","RSQ_TP","p.value_TP","RMSE_TP"
2001,102004.372844789,172.532073742713,3958.95645392276,NA,159135059.780165,NA,0.613083333333333,96.5890917401848,0,0.146949548229739,96.8091799822224,0,0.187342929396265
2002,255552.792522151,2211.90733287967,11304.9296490506,3565.73859955894,413664301.996566,NA,0.763,96.5890917401848,0,0.146949548229739,96.8091799822224,0,0.187342929396265
2003,184964.37945152,2046.27857738826,6371.9563311847,1894.88190605954,262262867.515661,NA,0.77225,96.5890917401848,0,0.146949548229739,96.8091799822224,0,0.187342929396265
2004,205066.000063767,2990.70645240123,6387.78305589741,1758.37970920836,271442987.824537,NA,0.743583333333333,96.5890917401848,0,0.146949548229739,96.8091799822224,0,0.187342929396265
2005,187793.951230511,4210.52675918816,6403.88210452283,1580.32681941679,236108485.619376,NA,0.797416666666667,96.5890917401848,0,0.146949548229739,96.8091799822224,0,0.187342929396265
2006,312862.313031745,19557.5612050311,14676.4111961239,5837.81951301355,395766133.936056,NA,0.950583333333333,96.5890917401848,0,0.146949548229739,96.8091799822224,0,0.187342929396265
2007,349522.819930761,25244.7271258897,15186.039990617,4812.91105124977,440728320.680659,NA,0.922416666666667,96.5890917401848,0,0.146949548229739,96.8091799822224,0,0.187342929396265
2008,279048.867115069,23989.787613718,10325.0323460542,5556.08024104473,339756029.558639,0.0287916666666667,0.812666666666667,96.5890917401848,0,0.146949548229739,96.8091799822224,0,0.187342929396265
2009,240717.086975943,33431.0724093502,10836.7538293837,10184.4719060202,291777376.266107,0.032775,0.834666666666667,96.5890917401848,0,0.146949548229739,96.8091799822224,0,0.187342929396265
2010,275658.759488851,14550.3670856098,8521.72745722886,1019.67408552951,354971688.633177,0.0342916666666667,0.782666666666667,96.5890917401848,0,0.146949548229739,96.8091799822224,0,0.187342929396265
2011,339643.677309869,25133.0846216653,13641.673517332,2432.49062981168,465470783.829648,0.0347181818181818,0.79525,96.5890917401848,0,0.146949548229739,96.8091799822224,0,0.187342929396265
2012,297036.233243031,22259.0433829586,14214.444821691,2684.39705607685,426973102.096347,0.0295,0.7405,96.5890917401848,0,0.146949548229739,96.8091799822224,0,0.187342929396265
2013,259082.648311518,17261.8132556456,14345.9814724502,2557.27227546809,395094548.948822,NA,NA,96.5890917401848,0,0.146949548229739,96.8091799822224,0,0.187342929396265
2014,265047.049638035,17753.8056652262,19917.4978984715,4365.60750133683,449019520.546735,NA,NA,96.5890917401848,0,0.146949548229739,96.8091799822224,0,0.187342929396265
2015,193035.715297743,6776.55038166569,15790.2664529002,2178.3662456302,345827123.216839,NA,NA,96.5890917401848,0,0.146949548229739,96.8091799822224,0,0.187342929396265
