"water_year","flux_TN_kgy","flux_TP_kgy","flux_TN_kgy_se","flux_TP_kgy_se","flow_m3y","tp_mgl","tn_mgl","RSQ_TN","p.value_TN","RMSE_TN","RSQ_TP","p.value_TP","RMSE_TP"
2001,118118.54148196,5458.04034149882,10582.1696833747,1025.83457916498,333047435.855027,0.0178214285714286,0.346357142857143,88.5499477887101,0,0.364669575402222,75.5705867528754,0,0.636978163925806
2002,323708.728079944,21820.4820092067,28543.0403823925,3569.35698681779,727809739.844773,0.0259916666666667,0.380666666666667,88.5499477887101,0,0.364669575402222,75.5705867528754,0,0.636978163925806
2003,175861.66771993,10440.9760787042,13413.1097225774,1481.81397721563,437540677.402454,0.0175458333333333,0.355708333333333,88.5499477887101,0,0.364669575402222,75.5705867528754,0,0.636978163925806
2004,198464.794249041,13362.7917659781,14446.2743716922,2045.81716671625,498379437.529749,0.0300538461538462,0.393076923076923,88.5499477887101,0,0.364669575402222,75.5705867528754,0,0.636978163925806
2005,159873.11696928,9771.99630269072,11784.5638559531,1494.5374217381,418021897.700619,0.0212884615384615,0.388307692307692,88.5499477887101,0,0.364669575402222,75.5705867528754,0,0.636978163925806
2006,314856.288064955,19539.6926999405,32596.5522306438,3949.64181969592,644631064.449563,0.0156571428571429,0.318857142857143,88.5499477887101,0,0.364669575402222,75.5705867528754,0,0.636978163925806
2007,368927.978501658,23099.1501192538,44370.6300355451,6054.32873568768,727393822.002041,0.0242428571428571,0.428071428571429,88.5499477887101,0,0.364669575402222,75.5705867528754,0,0.636978163925806
2008,215542.077615534,8565.77245854758,20941.5307891983,1693.20178892334,625451396.161449,0.0194866666666667,0.343433333333333,88.5499477887101,0,0.364669575402222,75.5705867528754,0,0.636978163925806
2009,343596.830777533,11046.7834867346,62243.4810919122,4931.28437998644,651760385.58909,0.0109333333333333,0.257666666666667,88.5499477887101,0,0.364669575402222,75.5705867528754,0,0.636978163925806
2010,167070.44523537,3015.89182766464,18164.5683441682,1070.53202611078,524695038.059069,NA,NA,88.5499477887101,0,0.364669575402222,75.5705867528754,0,0.636978163925806
2011,436619.392271713,5258.5871609494,69883.4025902894,3370.56062018673,922050712.127023,NA,NA,88.5499477887101,0,0.364669575402222,75.5705867528754,0,0.636978163925806
2012,279248.065302999,1633.72549695086,37467.5670884201,1390.06748451365,782873157.857985,NA,NA,88.5499477887101,0,0.364669575402222,75.5705867528754,0,0.636978163925806
2013,225691.231966438,658.697057953427,32323.1694240933,866.92892806998,685912133.628437,NA,NA,88.5499477887101,0,0.364669575402222,75.5705867528754,0,0.636978163925806
2014,271584.53516628,337.559819004,45042.2766801761,791.42989292675,755277443.493871,NA,NA,88.5499477887101,0,0.364669575402222,75.5705867528754,0,0.636978163925806
2015,191590.576673042,99.5560406456528,32492.3310342205,396.228436388468,561354526.032533,NA,NA,88.5499477887101,0,0.364669575402222,75.5705867528754,0,0.636978163925806
