"water_year","flux_TN_kgy","flux_TP_kgy","flux_TN_kgy_se","flux_TP_kgy_se","flow_m3y","tp_mgl","tn_mgl","RSQ_TN","p.value_TN","RMSE_TN","RSQ_TP","p.value_TP","RMSE_TP"
2001,50282.9808802247,2026.85998751614,5567.39705843213,348.827746824076,23412260.0249111,0.0902,2.06,77.6067207497211,0,0.309807485159933,77.4761515152853,0,0.370744665475938
2002,48213.62751001,1668.61267995527,4626.70255043673,224.864618506769,23034508.760689,0.074,2.1025,77.6067207497211,0,0.309807485159933,77.4761515152853,0,0.370744665475938
2003,52749.6845100775,1607.22258354731,4748.29907528533,196.149956328945,24010203.0882262,0.0505,1.8925,77.6067207497211,0,0.309807485159933,77.4761515152853,0,0.370744665475938
2004,51654.6025691496,1419.94748019246,4432.68685185971,169.720900072785,23067216.6681864,0.0776,2.342,77.6067207497211,0,0.309807485159933,77.4761515152853,0,0.370744665475938
2005,57622.7553205943,1447.2348181468,4531.09652952041,161.485429133111,25571069.3547312,0.0504,2.64,77.6067207497211,0,0.309807485159933,77.4761515152853,0,0.370744665475938
2006,70316.8179406566,1618.80985689737,5484.8445423934,184.412163650932,30447388.0059372,0.0538,2.504,77.6067207497211,0,0.309807485159933,77.4761515152853,0,0.370744665475938
2007,100266.987921756,2043.07925149685,10519.6113463756,319.938330948631,38902019.1184506,0.0452,3.058,77.6067207497211,0,0.309807485159933,77.4761515152853,0,0.370744665475938
2008,72193.274821052,1522.14699604291,5369.59412363807,177.573952045469,30532624.090935,0.0498,3.024,77.6067207497211,0,0.309807485159933,77.4761515152853,0,0.370744665475938
2009,70347.2925010247,1473.34492543015,5372.36386735999,165.472391571965,29795228.8285342,0.0524,2.23,77.6067207497211,0,0.309807485159933,77.4761515152853,0,0.370744665475938
2010,62028.0669821296,1354.01548816408,5198.89536697541,163.321842528301,25082292.4922553,0.0638,2.538,77.6067207497211,0,0.309807485159933,77.4761515152853,0,0.370744665475938
2011,74314.0106229867,1654.87138758098,6149.30586372277,182.529670336141,29981339.8302789,0.048,2.324,77.6067207497211,0,0.309807485159933,77.4761515152853,0,0.370744665475938
2012,61528.4863457014,1442.81945590026,5555.95982247619,182.476341692933,24283038.7089645,0.0526,2.52,77.6067207497211,0,0.309807485159933,77.4761515152853,0,0.370744665475938
2013,85314.8572187177,2075.99231476968,7933.67267334506,292.840169623556,33877927.3042976,0.0572,2.418,77.6067207497211,0,0.309807485159933,77.4761515152853,0,0.370744665475938
2014,81157.0574821647,2185.16764681068,7841.68728448609,346.744895352228,31979458.0782719,0.0734,2.472,77.6067207497211,0,0.309807485159933,77.4761515152853,0,0.370744665475938
2015,91788.5451287117,2711.654014474,9826.74938937204,539.499831251083,35517842.426677,NA,NA,77.6067207497211,0,0.309807485159933,77.4761515152853,0,0.370744665475938
