water_year,flux_TN_kgy,flux_TP_kgy,flux_TN_kgy_se,flux_TP_kgy_se,flow_m3y,tp_mgl,tn_mgl,RSQ_TN,p.value_TN,RMSE_TN,RSQ_TP,p.value_TP,RMSE_TP
2001, 6485.477,1235.8414,13713.08922,13713.08922,12565036,0.142,0.60028,80.8695,0.00E+00,0.2516411,63.35061494,7.77E-16,0.526293923
2002,4895.931,775.4862,7431.90958,7431.90958,9889058,0.065,0.497166667,80.8695,0.00E+00,0.2516411,63.35061494,7.77E-16,0.526293923
2003, 6708.586,1100.2739,7896.83708,7896.83708,14745511,0.067333333,0.4415,80.8695,0.00E+00,0.2516411,63.35061494,7.77E-16,0.526293923
2004,6554.512,958.1256,7034.676116,7034.676116,15966646,0.043833333,0.422,80.8695,0.00E+00,0.2516411,63.35061494,7.77E-16,0.526293923
2005, 8753.327,1299.842,21979.26241,21979.26241,22760492,0.067666667,0.4345,80.8695,0.00E+00,0.2516411,63.35061494,7.77E-16,0.526293923
2006, 6181.262, 835.0388,8788.796491,8788.796491,17160281,0.048166667,0.3735,80.8695,0.00E+00,0.2516411,63.35061494,7.77E-16,0.526293923
2007, 4152.869,486.6119,4044.932252,4044.932252,12391905,0.043833333,0.386833333,80.8695,0.00E+00,0.2516411,63.35061494,7.77E-16,0.526293923
2008, 5620.630, 724.1274,5648.162173,5648.162173,16566859,0.050833333,0.394166667,80.8695,0.00E+00,0.2516411,63.35061494,7.77E-16,0.526293923
2009,13102.671,1878.2739,27415.77232,27415.77232,33909537,0.040333333,0.301,80.8695,0.00E+00,0.2516411,63.35061494,7.77E-16,0.526293923
2010,3970.564,472.4364,4762.334321,4762.334321,12856754,0.0392,0.332,80.8695,0.00E+00,0.2516411,63.35061494,7.77E-16,0.526293923
2011,10331.025,1572.5108,40999.01376,40999.01376,28713011,0.049285714,0.351857143,80.8695,0.00E+00,0.2516411,63.35061494,7.77E-16,0.526293923
2012, 5116.773,665.652,6044.053039,6044.053039,15568944,0.021333333,0.257666667,80.8695,0.00E+00,0.2516411,63.35061494,7.77E-16,0.526293923
2013, 4110.609,535.5015,5387.412415,5387.412415,12095869,0.033666667,0.334,80.8695,0.00E+00,0.2516411,63.35061494,7.77E-16,0.526293923
2014, 8430.371,1444.8651,39173.31336,39173.31336,23596931,0.141666667,0.513333333,80.8695,0.00E+00,0.2516411,63.35061494,7.77E-16,0.526293923
,,,,,,,,,,,,,
