"water_year","flux_TN_kgy","flux_TP_kgy","flux_TN_kgy_se","flux_TP_kgy_se","flow_m3y","tp_mgl","tn_mgl","RSQ_TN","p.value_TN","RMSE_TN","RSQ_TP","p.value_TP","RMSE_TP"
2001,61281.0329827634,61500.3882744463,3152.53646623033,2398.81264219116,383256059.199356,0.159444444444444,2.67076666666667,93.2500398698018,0,0.332774288538581,93.2490769029802,0,0.332134419019219
2002,246839.038412534,248028.812818684,12866.3781111928,10630.8978120804,1530969113.33922,0.108953488372093,2.42485294117647,93.2500398698018,0,0.332774288538581,93.2490769029802,0,0.332134419019219
2003,206090.835718289,206928.980649893,8972.78742099823,8058.8923601852,1299527959.88796,0.1155,2.70678947368421,93.2500398698018,0,0.332774288538581,93.2490769029802,0,0.332134419019219
2004,163428.399786396,164037.48199563,6077.87068091398,5567.50786842123,970256779.964214,0.114763157894737,2.76928947368421,93.2500398698018,0,0.332774288538581,93.2490769029802,0,0.332134419019219
2005,101911.851042586,102221.025437727,4054.00683767358,3700.65077632466,676336236.943431,0.149525,3.113975,93.2500398698018,0,0.332774288538581,93.2490769029802,0,0.332134419019219
2006,269865.221503838,270305.386412856,16096.5872070293,15438.0988146647,1716561441.0682,0.1163,3.116425,93.2500398698018,0,0.332774288538581,93.2490769029802,0,0.332134419019219
2007,221045.887102306,221452.696924209,9928.24482556028,9214.12890842761,1378160897.91967,0.116769230769231,3.19497435897436,93.2500398698018,0,0.332774288538581,93.2490769029802,0,0.332134419019219
2008,221892.650757361,221970.744160418,9675.56808636211,8993.46746187127,1369252140.94119,0.138341463414634,3.25765853658537,93.2500398698018,0,0.332774288538581,93.2490769029802,0,0.332134419019219
2009,141965.343145674,141773.475322817,6167.98663288417,5678.80230074433,887380290.072034,0.132421052631579,3.59434210526316,93.2500398698018,0,0.332774288538581,93.2490769029802,0,0.332134419019219
2010,218680.215536554,218191.436406096,8706.96979312265,8178.03023095965,1411255725.32337,0.123769230769231,3.18771794871795,93.2500398698018,0,0.332774288538581,93.2490769029802,0,0.332134419019219
2011,286557.321016506,285390.476476342,13508.0627850345,12601.110105404,1854675523.76161,0.114605263157895,2.87321052631579,93.2500398698018,0,0.332774288538581,93.2490769029802,0,0.332134419019219
2012,233276.840317313,231826.668481368,11945.138588686,10294.2029861502,1518902850.08032,0.167142857142857,3.04264285714286,93.2500398698018,0,0.332774288538581,93.2490769029802,0,0.332134419019219
2013,191629.144154709,190264.438471832,10668.2346401839,8394.424917789,1207612563.21984,0.118771428571429,3.0504,93.2500398698018,0,0.332774288538581,93.2490769029802,0,0.332134419019219
2014,171057.512092849,169414.606133049,11160.3273473335,7067.98479067068,1119305865.4813,0.1428,3.1382,93.2500398698018,0,0.332774288538581,93.2490769029802,0,0.332134419019219
2015,172851.060339729,170985.091541468,12910.0656172436,6508.84895231166,1029932460.80494,NA,NA,93.2500398698018,0,0.332774288538581,93.2490769029802,0,0.332134419019219
