"water_year","flux_TN_kgy","flux_TP_kgy","flux_TN_kgy_se","flux_TP_kgy_se","flow_m3y","tp_mgl","tn_mgl","RSQ_TN","p.value_TN","RMSE_TN","RSQ_TP","p.value_TP","RMSE_TP"
2001,1432.32157235131,2065.60229636134,163.780509060486,351.040777351792,23412260.0249111,0.131,2.2675,70.3557789495775,0,0.396217268558212,74.8101992726759,0,0.373093297421936
2002,1317.88161226021,1616.28226074198,126.720842809572,200.964998711926,23034508.760689,0.0681428571428571,2.54285714285714,70.3557789495775,0,0.396217268558212,74.8101992726759,0,0.373093297421936
2003,1450.80902210301,1609.23990852667,138.04079817141,182.610996347857,24010203.0882262,0.0442857142857143,1.985,70.3557789495775,0,0.396217268558212,74.8101992726759,0,0.373093297421936
2004,1384.96927825955,1391.94663828601,130.854873052087,153.169684273612,23067216.6681864,0.04525,2,70.3557789495775,0,0.396217268558212,74.8101992726759,0,0.373093297421936
2005,1556.27904352437,1457.34834576495,139.811231499432,153.757392110099,25571069.3547312,0.0558,2.12,70.3557789495775,0,0.396217268558212,74.8101992726759,0,0.373093297421936
2006,1965.7540673001,1763.23351312137,185.596584876787,198.147592688988,30447388.0059372,0.073,2.058,70.3557789495775,0,0.396217268558212,74.8101992726759,0,0.373093297421936
2007,3087.39518242799,2739.43204853136,437.709279826674,474.632049135601,38902019.1184506,0.0552,2.366,70.3557789495775,0,0.396217268558212,74.8101992726759,0,0.373093297421936
2008,1965.73362774533,1654.1619906863,178.649288409114,191.809108401538,30532624.090935,0.061,2.512,70.3557789495775,0,0.396217268558212,74.8101992726759,0,0.373093297421936
2009,1877.37249968358,1578.88736239383,172.849932476856,176.939821972467,29795228.8285342,0.0578,2.266,70.3557789495775,0,0.396217268558212,74.8101992726759,0,0.373093297421936
2010,1582.9175949308,1365.65228334346,154.452480611253,164.526400068223,25082292.4922553,0.0684,2.252,70.3557789495775,0,0.396217268558212,74.8101992726759,0,0.373093297421936
2011,1939.64432732863,1757.86196054587,181.079283701278,195.031811807246,29981339.8302789,0.0548,2.302,70.3557789495775,0,0.396217268558212,74.8101992726759,0,0.373093297421936
2012,1516.64566145197,1429.21833603577,144.478838027211,178.004774217441,24283038.7089645,0.0586,2.13,70.3557789495775,0,0.396217268558212,74.8101992726759,0,0.373093297421936
2013,2233.75563120813,2319.96338635414,216.389976009062,328.461372480376,33877927.3042976,0.054,2.136,70.3557789495775,0,0.396217268558212,74.8101992726759,0,0.373093297421936
2014,2063.9810513013,2356.86450799771,189.950692824227,374.543099374698,31979458.0782719,0.079,2.1,70.3557789495775,0,0.396217268558212,74.8101992726759,0,0.373093297421936
2015,2371.57217625008,3059.56972592231,242.061670206647,614.178037648499,35517842.426677,NA,NA,70.3557789495775,0,0.396217268558212,74.8101992726759,0,0.373093297421936
